EstablecimientoCodigo;EstablecimientoGlosa;TipoEstablecimientoGlosa;TipoSistemaSaludGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;RegionGlosa;ComunaGlosa;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
102030;Unidad de Salud Funcionario  S.S. Iquique;Unidad de Salud Funcionarios;Público;Servicio de Salud;Secundario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102010;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique);Dirección Servicio de Salud;Público;Servicio de Salud;No Aplica;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102011;PRAIS (S.S. Iquique);Programa de Reparación y Atención Integral de Salud (PRAIS);Público;Servicio de Salud;No Aplica;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102100;Hospital Dr. Ernesto Torres Galdames (Iquique);Hospital;Público;Servicio de Salud;Terciario;Región de Tarapacá;Iquique;Alta Complejidad;Atención Cerrada-Hospitalaria
102600;COSAM Dr. Jorge Seguel Cáceres;Centro Comunitario de Salud Mental  (COSAM);Público;Servicio de Salud;Secundario;Región de Tarapacá;Iquique;Mediana Complejidad;Atención Abierta-Ambulatoria
200190;Policlínico Centro de Cumplimiento Penitenciario Iquique;Centro de Salud Privado;Fuerzas Armadas y de Orden;Gendamería;Secundario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102701;Centro Comunitario de Salud Familiar Cerro Esmeralda;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102801;SAPU Cirujano Videla;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102301;Centro de Salud Familiar Cirujano Videla;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102403;Posta de Salud Rural Mamiña;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Pozo Almonte;Baja Complejidad;Atención Abierta-Ambulatoria
102308;Centro de Salud Familiar Dr. Amador Neghme Rodríguez;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Huara;Baja Complejidad;Atención Abierta-Ambulatoria
200096;SAPU Huara;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Tarapacá;Huara;Baja Complejidad;Atención Abierta-Ambulatoria
200754;SUR Tarapacá;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Tarapacá;Huara;Baja Complejidad;Atención Abierta-Ambulatoria
102402;Posta de Salud Rural Tarapacá;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Huara;Baja Complejidad;Atención Abierta-Ambulatoria
200474;Posta de Salud Rural Pachica;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Huara;Baja Complejidad;Atención Abierta-Ambulatoria
102411;Posta de Salud Rural Cancosa;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Pica;Baja Complejidad;Atención Abierta-Ambulatoria
102410;Posta de Salud Rural Sibaya;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Huara;Baja Complejidad;Atención Abierta-Ambulatoria
102400;Posta de Salud Rural Pisagua;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Huara;Baja Complejidad;Atención Abierta-Ambulatoria
102407;Posta de Salud Rural Chiapa;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Huara;Baja Complejidad;Atención Abierta-Ambulatoria
102415;Posta de Salud Rural Cariquima;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Colchane;Baja Complejidad;Atención Abierta-Ambulatoria
200753;SUR Cariquima;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Tarapacá;Colchane;Baja Complejidad;Atención Abierta-Ambulatoria
102408;Posta de Salud Rural Moquella;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Camiña;Baja Complejidad;Atención Abierta-Ambulatoria
102309;Centro de Salud Familiar Camiña;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Camiña;Baja Complejidad;Atención Abierta-Ambulatoria
200756;SUR Camiña;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Tarapacá;Camiña;Baja Complejidad;Atención Abierta-Ambulatoria
200752;SUR Colchane;Servicio de Urgencia Rural (SUR);Público;Municipal;Primario;Región de Tarapacá;Colchane;Baja Complejidad;Atención Abierta-Ambulatoria
102310;Centro de Salud Familiar Colchane;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Colchane;Baja Complejidad;Atención Abierta-Ambulatoria
